home_elo,away_elo,elo_diff,home_win_rate,away_win_rate,win_rate_diff,home_avg_goals,away_avg_goals,avg_goals_diff,home_avg_goals_against,away_avg_goals_against,avg_goals_against_diff,home_last5_win_rate,away_last5_win_rate,last5_win_rate_diff,home_last5_goal_diff,away_last5_goal_diff,last5_goal_diff_diff,h2h_matches,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals,h2h_away_goals,neutral,tournament_weight,match_id,date,home_team,away_team,home_score,away_score,tournament,target,target_label
1486.5794017157757,1421.6705170882456,64.90888462753014,0.36363636363636365,0.0,0.36363636363636365,2.1818181818181817,0.5714285714285714,1.6103896103896103,2.8181818181818183,4.0,-1.1818181818181817,0.6,0.0,0.6,-0.6,-3.6,3.0,2,2,0,0,5,3,0,0.5,16,1881-02-26,england,wales,0,1,friendly,A,0
1474.7326100481816,1591.7500811959787,-117.0174711477971,0.3333333333333333,0.7142857142857143,-0.380952380952381,2.0,3.642857142857143,-1.6428571428571428,2.6666666666666665,1.4285714285714286,1.238095238095238,0.6,0.8,-0.20000000000000007,0.2,3.2,-3.0,9,2,5,2,19,28,0,0.5,17,1881-03-12,england,scotland,1,6,friendly,A,0
1433.5173087558396,1603.9069107103176,-170.38960195447794,0.125,0.7333333333333333,-0.6083333333333333,0.625,3.8,-3.175,3.5,1.4,2.1,0.2,0.8,-0.6000000000000001,-1.6,2.4,-4.0,5,0,5,0,1,23,0,0.5,18,1881-03-14,wales,scotland,1,5,friendly,A,0
1500.0,1462.5757805338428,37.42421946615718,0.0,0.3076923076923077,-0.3076923076923077,0.0,1.9230769230769231,-1.9230769230769231,0.0,2.923076923076923,-2.923076923076923,0.0,0.4,-0.4,0.0,-1.0,1.0,0,0,0,0,0,0,0,0.5,19,1882-02-18,northern ireland,england,0,13,friendly,A,0
1424.7901130863147,1477.8539821664112,-53.06386908009654,0.1111111111111111,0.0,0.1111111111111111,0.6666666666666666,0.0,0.6666666666666666,3.6666666666666665,13.0,-9.333333333333334,0.2,0.0,0.2,-2.2,-13.0,10.8,0,0,0,0,0,0,0,0.5,20,1882-02-25,wales,northern ireland,7,1,friendly,H,2
1612.6341063798425,1484.7217983674316,127.9123080124109,0.75,0.35714285714285715,0.39285714285714285,3.875,2.7142857142857144,1.1607142857142856,1.375,2.7142857142857144,-1.3392857142857144,1.0,0.4,0.6,3.4,1.4,2.0,10,6,2,2,34,20,0,0.5,21,1882-03-11,scotland,england,5,1,friendly,H,2
1447.821183435338,1474.359915197641,-26.53873176230286,0.2,0.3333333333333333,-0.1333333333333333,1.3,2.6,-1.3,3.4,2.8666666666666667,0.5333333333333332,0.4,0.4,0.0,-0.4,0.8,-1.2000000000000002,3,1,2,0,4,5,0,0.5,22,1882-03-13,wales,england,5,3,friendly,H,2
1622.9959895496331,1460.7360202109787,162.2599693386544,0.7647058823529411,0.2727272727272727,0.4919786096256684,3.9411764705882355,1.6363636363636365,2.304812834224599,1.3529411764705883,3.3636363636363638,-2.0106951871657754,1.0,0.6,0.4,3.6,0.2,3.4,6,6,0,0,28,2,0,0.5,23,1882-03-25,scotland,wales,5,0,friendly,H,2
1461.4450784220003,1450.5802364907424,10.864841931257843,0.3125,0.25,0.0625,2.625,1.5,1.125,3.0,3.5,-0.5,0.2,0.6,-0.39999999999999997,0.2,0.0,0.2,4,2,2,0,8,9,0,0.5,24,1883-02-03,england,wales,5,0,friendly,H,2
1478.8823743153778,1454.8229118173879,24.059462497989898,0.35294117647058826,0.0,0.35294117647058826,2.764705882352941,0.5,2.264705882352941,2.823529411764706,10.0,-7.1764705882352935,0.4,0.0,0.4,1.4,-9.5,10.9,1,1,0,0,13,0,0,0.5,25,1883-02-24,england,northern ireland,7,0,friendly,H,2
1497.499609911448,1633.1517732698694,-135.65216335842138,0.3888888888888889,0.7777777777777778,-0.3888888888888889,3.0,4.0,-1.0,2.6666666666666665,1.2777777777777777,1.3888888888888888,0.6,1.0,-0.4,3.8,4.4,-0.6000000000000005,11,2,7,2,21,39,0,0.5,26,1883-03-10,england,scotland,2,3,friendly,A,0
1433.142940597365,1639.4343929599606,-206.2914523625957,0.23076923076923078,0.7894736842105263,-0.5587044534412955,1.3846153846153846,3.9473684210526314,-2.562753036437247,3.6153846153846154,1.3157894736842106,2.299595141700405,0.4,1.0,-0.6,-1.2,3.8,-5.0,7,0,7,0,2,33,0,0.5,27,1883-03-12,wales,scotland,0,3,friendly,A,0
1436.2056762213176,1426.5992080223712,9.606468198946459,0.0,0.21428571428571427,-0.21428571428571427,0.3333333333333333,1.2857142857142858,-0.9523809523809526,9.0,3.5714285714285716,5.428571428571429,0.0,0.4,-0.4,-8.666666666666666,-1.0,-7.666666666666666,1,0,1,0,1,7,0,0.5,28,1883-03-17,northern ireland,wales,1,1,friendly,D,1
1435.9292502796106,1645.9781255349544,-210.04887525534377,0.0,0.8,-0.8,0.5,3.9,-3.4,7.0,1.25,5.75,0.0,1.0,-1.0,-6.5,3.4,-9.9,0,0,0,0,0,0,0,0.8,29,1884-01-26,northern ireland,scotland,0,5,british home championship,A,0
1426.8756339640781,1422.6896878167438,4.1859461473343345,0.2,0.0,0.2,1.2666666666666666,0.4,0.8666666666666666,3.4,6.6,-3.1999999999999997,0.2,0.0,0.2,-2.2,-6.2,4.0,2,1,0,1,8,2,0,0.8,30,1884-02-09,wales,northern ireland,6,0,british home championship,H,2
1391.0752090511496,1491.2169902213568,-100.1417811702072,0.0,0.3684210526315789,-0.3684210526315789,0.3333333333333333,2.9473684210526314,-2.614035087719298,6.5,2.6842105263157894,3.8157894736842106,0.0,0.4,-0.4,-4.8,1.0,-5.8,2,0,2,0,0,20,0,0.8,31,1884-02-23,northern ireland,england,1,8,british home championship,A,0
1659.2176879978213,1514.24079782127,144.97689017655125,0.8095238095238095,0.4,0.4095238095238095,3.9523809523809526,3.2,0.7523809523809524,1.1904761904761905,2.6,-1.4095238095238096,1.0,0.6,0.4,3.6,3.2,0.3999999999999999,12,8,2,2,42,23,0,0.8,32,1884-03-15,scotland,england,1,0,british home championship,H,2
1458.4901127296723,1504.5549418545509,-46.06482912487854,0.25,0.38095238095238093,-0.13095238095238093,1.5625,3.0476190476190474,-1.4851190476190474,3.1875,2.5238095238095237,0.6636904761904763,0.2,0.6,-0.39999999999999997,-1.4,3.4,-4.8,5,2,3,0,9,13,0,0.8,33,1884-03-17,wales,england,0,4,british home championship,A,0
1668.9035439645404,1436.264545032628,232.6389989319125,0.8181818181818182,0.23529411764705882,0.5828877005347595,3.8181818181818183,1.4705882352941178,2.3475935828877006,1.1363636363636365,3.235294117647059,-2.098930481283422,1.0,0.2,0.8,3.0,-1.2,4.2,8,8,0,0,36,2,0,0.8,34,1884-03-29,scotland,wales,4,1,british home championship,H,2
